id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
4gps46WZXlN1Z9EbdU4VQJ,0.605,0.914,-1.518,0.377,0.273,0.0,0.0569,0.25,190.11,249280
7aSnPAggMMgElb6BgXeSEw,0.801,0.74,-7.162,0.355,0.293,0.0,0.369,0.828,92.042,215973
6ENJiFz2P8cNu1yftOI5rI,0.494,0.864,-4.552,0.389,0.151,8.04e-06,0.321,0.652,87.277,245110
2dqO8QFTNUlev2VmCnK5IO,0.844,0.886,-1.681,0.306,0.199,0.0,0.471,0.546,86.868,259573
6z9w1M1BFF7t54RodXDI5w,0.716,0.914,-5.619,0.235,0.00536,1.84e-06,0.08,0.743,92.213,226613
5z5cd8eYfMXYk2xd1mEXrP,0.547,0.804,-5.486,0.101,0.00611,0.00302,0.11,0.799,111.934,242027
6CWiDYxP6pZg2WwYuYg4Ol,0.849,0.894,-1.744,0.352,0.143,0.00462,0.024,0.582,153.932,239398
4YpP58tU9nVzFFA3ZphxEe,0.789,0.764,-6.824,0.261,0.0739,2.21e-05,0.226,0.816,177.08,310160
4mSp2FCzwGUN58aurJawQq,0.728,0.654,-7.044,0.243,0.0158,0.0,0.343,0.657,87.816,337014
5ckVDfifdJnKEabvjojde4,0.894,0.622,-7.426,0.375,0.155,0.0,0.388,0.812,90.103,321293
4ZxTVvQnd9waywoxnfl5pm,0.943,0.612,-9.785,0.204,0.403,0.0,0.0739,0.913,98.964,178973
0VEr17aiy1HCMefwtniW6j,0.719,0.83,-5.957,0.393,0.362,0.0,0.0541,0.893,176.185,288867
52VCAsF96HlJyf5NGrl0P7,0.868,0.623,-7.885,0.613,0.462,0.0,0.674,0.642,110.182,294000
2GO4FoyGDQYop8jYidTJ9D,0.849,0.839,-6.304,0.298,0.582,0.0,0.743,0.467,103.159,223840
1wIX078LR1SnN3re86YgNP,0.927,0.837,-6.644,0.317,0.538,0.000163,0.559,0.752,100.782,275267
2xT7AoOIddEB7H2EGKCzYS,0.695,0.859,-6.391,0.176,0.35,0.0,0.328,0.467,94.443,196893
5xKTSBWEwLj8AR7q6eFj9j,0.957,0.604,-8.927,0.288,0.111,0.0,0.248,0.961,119.508,224200
1HwlBxYp2MfQKcdcmoRynR,0.835,0.725,-5.108,0.129,0.636,0.0,0.0941,0.881,95.525,231907
4D5JDBz9rqgpEc7jXxc00T,0.801,0.963,-7.748,0.285,0.126,7.62e-05,0.132,0.348,95.027,255747
0riKa8Ipd6CI4MQgtpLGxn,0.64,0.846,-5.331,0.301,0.0582,2.02e-05,0.334,0.489,79.39,172173
29SQc0rWYpWyMWy5juXx04,0.833,0.808,-4.413,0.164,0.0643,0.000646,0.272,0.786,94.008,188600
